/Users/crypboy/Desktop/self driving car project/IMG/center_2021_12_02_23_20_33_272.jpg, /Users/crypboy/Desktop/self driving car project/IMG/left_2021_12_02_23_20_33_272.jpg, /Users/crypboy/Desktop/self driving car project/IMG/right_2021_12_02_23_20_33_272.jpg, 0, 0, 0, 7.854035E-05
/Users/crypboy/Desktop/self driving car project/IMG/center_2021_12_02_23_20_33_373.jpg, /Users/crypboy/Desktop/self driving car project/IMG/left_2021_12_02_23_20_33_373.jpg, /Users/crypboy/Desktop/self driving car project/IMG/right_2021_12_02_23_20_33_373.jpg, 0, 0, 0, 7.873282E-05
/Users/crypboy/Desktop/self driving car project/IMG/center_2021_12_02_23_20_33_473.jpg, /Users/crypboy/Desktop/self driving car project/IMG/left_2021_12_02_23_20_33_473.jpg, /Users/crypboy/Desktop/self driving car project/IMG/right_2021_12_02_23_20_33_473.jpg, 0, 0, 0, 7.887292E-05
/Users/crypboy/Desktop/self driving car project/IMG/center_2021_12_02_23_20_33_578.jpg, /Users/crypboy/Desktop/self driving car project/IMG/left_2021_12_02_23_20_33_578.jpg, /Users/crypboy/Desktop/self driving car project/IMG/right_2021_12_02_23_20_33_578.jpg, 0, 0, 0, 7.887583E-05
/Users/crypboy/Desktop/self driving car project/IMG/center_2021_12_02_23_20_33_682.jpg, /Users/crypboy/Desktop/self driving car project/IMG/left_2021_12_02_23_20_33_682.jpg, /Users/crypboy/Desktop/self driving car project/IMG/right_2021_12_02_23_20_33_682.jpg, 0, 0, 0, 7.964025E-05
/Users/crypboy/Desktop/self driving car project/IMG/center_2021_12_02_23_20_33_785.jpg, /Users/crypboy/Desktop/self driving car project/IMG/left_2021_12_02_23_20_33_785.jpg, /Users/crypboy/Desktop/self driving car project/IMG/right_2021_12_02_23_20_33_785.jpg, 0, 0, 0, 8.458521E-05
/Users/crypboy/Desktop/self driving car project/IMG/center_2021_12_02_23_20_33_886.jpg, /Users/crypboy/Desktop/self driving car project/IMG/left_2021_12_02_23_20_33_886.jpg, /Users/crypboy/Desktop/self driving car project/IMG/right_2021_12_02_23_20_33_886.jpg, 0, 0, 0, 7.839838E-05
/Users/crypboy/Desktop/self driving car project/IMG/center_2021_12_02_23_20_33_989.jpg, /Users/crypboy/Desktop/self driving car project/IMG/left_2021_12_02_23_20_33_989.jpg, /Users/crypboy/Desktop/self driving car project/IMG/right_2021_12_02_23_20_33_989.jpg, 0, 0, 0, 7.890168E-05
/Users/crypboy/Desktop/self driving car project/IMG/center_2021_12_02_23_20_34_094.jpg, /Users/crypboy/Desktop/self driving car project/IMG/left_2021_12_02_23_20_34_094.jpg, /Users/crypboy/Desktop/self driving car project/IMG/right_2021_12_02_23_20_34_094.jpg, 0, 0, 0, 7.938911E-05
/Users/crypboy/Desktop/self driving car project/IMG/center_2021_12_02_23_20_34_195.jpg, /Users/crypboy/Desktop/self driving car project/IMG/left_2021_12_02_23_20_34_195.jpg, /Users/crypboy/Desktop/self driving car project/IMG/right_2021_12_02_23_20_34_195.jpg, 0, 0, 0, 7.930928E-05
/Users/crypboy/Desktop/self driving car project/IMG/center_2021_12_02_23_20_34_298.jpg, /Users/crypboy/Desktop/self driving car project/IMG/left_2021_12_02_23_20_34_298.jpg, /Users/crypboy/Desktop/self driving car project/IMG/right_2021_12_02_23_20_34_298.jpg, 0, 0, 0, 7.818256E-05
/Users/crypboy/Desktop/self driving car project/IMG/center_2021_12_02_23_20_34_403.jpg, /Users/crypboy/Desktop/self driving car project/IMG/left_2021_12_02_23_20_34_403.jpg, /Users/crypboy/Desktop/self driving car project/IMG/right_2021_12_02_23_20_34_403.jpg, 0, 0, 0, 8.246159E-05
/Users/crypboy/Desktop/self driving car project/IMG/center_2021_12_02_23_20_34_506.jpg, /Users/crypboy/Desktop/self driving car project/IMG/left_2021_12_02_23_20_34_506.jpg, /Users/crypboy/Desktop/self driving car project/IMG/right_2021_12_02_23_20_34_506.jpg, 0, 0, 0, 7.965141E-05
/Users/crypboy/Desktop/self driving car project/IMG/center_2021_12_02_23_20_34_607.jpg, /Users/crypboy/Desktop/self driving car project/IMG/left_2021_12_02_23_20_34_607.jpg, /Users/crypboy/Desktop/self driving car project/IMG/right_2021_12_02_23_20_34_607.jpg, 0, 0, 0, 8.126502E-05
/Users/crypboy/Desktop/self driving car project/IMG/center_2021_12_02_23_20_34_708.jpg, /Users/crypboy/Desktop/self driving car project/IMG/left_2021_12_02_23_20_34_708.jpg, /Users/crypboy/Desktop/self driving car project/IMG/right_2021_12_02_23_20_34_708.jpg, 0, 0, 0, 8.405963E-05
/Users/crypboy/Desktop/self driving car project/IMG/center_2021_12_02_23_20_34_812.jpg, /Users/crypboy/Desktop/self driving car project/IMG/left_2021_12_02_23_20_34_812.jpg, /Users/crypboy/Desktop/self driving car project/IMG/right_2021_12_02_23_20_34_812.jpg, 0, 0, 0, 7.810644E-05
